model,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,val_top3_accuracy,val_roc_auc_macro,train_accuracy,best_val_macro_f1
attention_bilstm,0.9657228017883756,0.9551438506922081,0.954723754843522,0.9566760867336683,0.988263785394933,0.9989563767215761,,
tfidf_sgd,0.9539865871833085,0.9447291567776915,0.9514421137606814,0.9426875750524014,0.9787630402384501,0.9959228788049495,0.975315541893717,
bigru_conv,0.9083457526080477,0.879494705016447,0.8744683644273074,0.8891087914394957,0.9675856929955291,0.9960648838976545,,
bilstm,0.9098360655737705,0.8788352882904493,0.8677982943583276,0.8950569025885474,0.9720566318926974,0.9974579462907761,,0.8788352882904493
