feature,chi2,pvalue
hearth,55.24275806329693,0.11917986303292487
fifty feet,55.225614464957744,0.11949284132510986
home an,55.225495200674835,0.11949502089884795
currents,55.2144076259714,0.1196977840762126
degree,55.21090995065496,0.11976180339414716
aft,55.209821080705545,0.11978173887530649
up stairs,55.192271420673364,0.12010340367273313
stared,55.17708274760701,0.12038233949666322
mile,55.16971910455798,0.12051775300460343
somewhat,55.165805040281036,0.12058977904134498
felt,55.16026439053576,0.1206917947965795
re going,55.13527811003133,0.12115268638415293
ye re,55.11802323750342,0.12147176788483897
of government,55.08463647796419,0.12209102718733646
favourite,55.034730471923346,0.12302127548647418
young gentleman,55.0262936516152,0.12317908230457277
the groves,55.014550232203696,0.12339900001278047
extends,54.996620940152894,0.123735349571352
those girls,54.96463339321035,0.12433720091578063
of west,54.96313840477553,0.12436538499553149
the pass,54.95362031717439,0.12454494008349395
the hunters,54.91479930534903,0.12527937217902635
the wolves,54.90155787558994,0.1255306472410977
would not,54.90103531647743,0.12554057157013848
nurse,54.89477100567162,0.12565958943991606
kin,54.8941577655413,0.12567124531427096
that paul,54.891590492356,0.12572005067035755
note,54.87646322386462,0.12600792772759858
existing,54.87604602027419,0.12601587449770238
not know,54.86549442366675,0.12621698752326543
cherry,54.84103805260848,0.12668408250208274
forth,54.8350311085503,0.12679901460950962
oh well,54.83034484493886,0.1268887339871151
by now,54.817717277230436,0.1271307360613026
the miller,54.80047939651034,0.12746167008272002
spirit,54.76547825599679,0.12813567696840894
the sun,54.69939981202237,0.1294156452898261
worthy,54.69559197576025,0.12948970473632146
cents,54.69150356733306,0.12956925753582912
ram,54.68394386221032,0.12971645472390936
according,54.6559980596655,0.1302617166968816
gotten,54.6551695459015,0.13027790912490356
charming,54.6423465611116,0.13052871893903142
and forth,54.629252087843405,0.13078522313967605
compare,54.60957785552709,0.13117134704129613
whereon,54.60018581068167,0.13135598365341725
wheat,54.57704396388157,0.13181177987359685
ridge,54.52477981442698,0.13284564212471384
her husband,54.48599686362532,0.13361684867069118
want,54.46486559551823,0.1340384931466563
whole lot,54.454778686078136,0.1342401229784068
and east,54.437760235922696,0.13458083677577048
hardly,54.43673361557142,0.1346014111814444
on her,54.43486349091346,0.1346388963820162
ye see,54.43103957812083,0.13471556868048526
provisions,54.43029640822051,0.1347304736765336
ran,54.414398017716096,0.1350496344230176
seas,54.393014134786334,0.13547983038199712
mood,54.3902798149313,0.13553491442732674
the seeds,54.36006179774705,0.1361448124782232
noble,54.35514288216847,0.1362442907698318
of die,54.3388744769456,0.1365736931628018
the wild,54.32747860953995,0.13680479916844537
the rail,54.3254656070459,0.13684565354053893
to paul,54.3202740827414,0.13695105984422756
miss and,54.304225891419925,0.13727728748575851
does not,54.300235759924085,0.13735849101291583
prisoner,54.29950534924633,0.1373733596411281
liberal,54.29660325501964,0.13743244836773366
are ye,54.26651856697261,0.1380461389855595
aspect,54.250096925298756,0.13838200193018907
wondered if,54.248553374172396,0.13841360338408154
england in,54.2231436480085,0.13893461401895874
dame,54.21771013725084,0.13904621864567573
simply,54.16959974937381,0.14003739264868548
the door,54.16252981388458,0.1401835003473215
wm,54.11193776400605,0.14123242681680045
canada,54.089132189090066,0.14170720210714388
element,54.06508222333252,0.1422091961387845
the ascent,54.06437001195034,0.1422240826571436
the money,54.054099483382565,0.1424388870117147
young,54.051837520497514,0.14248622820788878
throughout,54.031921252775234,0.14290357635818568
growth,54.0286060403608,0.14297313701714134
tho of,54.013108961551005,0.14329864139590842
debate,53.99968395739486,0.14358107726413832
opinion,53.9585939243887,0.1444481524212003
to eight,53.92612135835718,0.14513618208419696
the smallest,53.89675073392878,0.1457606192665538
the enemy,53.87908142203438,0.14613725604241162
don want,53.84510364153969,0.1468635863425943
lad,53.83932014001202,0.14698748883191443
tiie,53.83538068548516,0.14707193061870283
tone,53.818408733507184,0.14743614087625734
meat,53.78558166605659,0.14814252276945716
the lieutenant,53.77946046641145,0.14827452186228954
palace,53.76846042916941,0.148511951918285
cave,53.765525800401655,0.14857534266763595
pupils,53.753153528221546,0.14884281928092188
slavery is,53.72769730397815,0.14939429731741855
the duke,53.71148607906555,0.14974629327840397
there ain,53.697927193485995,0.15004117689401703
the snake,53.690438277015446,0.15020423541738226
by illustrated,53.68829815397919,0.15025085741871674
we think,53.67844883350261,0.15046556224519358
eventually,53.674577942129694,0.1505500066038942
ocean,53.66926312966883,0.15066600834908658
abyss,53.65814519950446,0.15090888648398304
doctrines,53.62559728594462,0.1516216039313358
shore of,53.59843450142938,0.15221832873332525
looked at,53.597609095041356,0.15223648913443336
in favor,53.57498640668168,0.1527348598771084
well said,53.57307781355925,0.15277696134963273
consequence of,53.571058394324226,0.15282151697559124
the opera,53.561583421564244,0.1530306986149031
she replied,53.56091065842885,0.15304555953268373
doctrine of,53.55815881177033,0.1531063573418113
my mother,53.54386071327976,0.15342254245259732
deep sea,53.53460174196043,0.15362755353243163
virtue,53.5203711597252,0.15394304435138972
everything,53.51126552398519,0.1541451692201924
me an,53.50074957649168,0.15437884632530988
dan and,53.47628757949897,0.15492344411179587
free trade,53.46864859094365,0.1550938042425431
in england,53.45241310275624,0.1554563421187761
instant,53.45239642266878,0.1554567149089935
tis not,53.441396537292114,0.15570270101364625
notwithstanding,53.428397691993695,0.1559937626860712
he added,53.42551293895591,0.15605841109159532
nice to,53.424060770330975,0.1560909622861457
st,53.4176088189015,0.15623564760597788
said mother,53.417073690538636,0.1562476523667649
the scenery,53.373351946197225,0.15723080153948593
things,53.37130138552739,0.15727702411849212
hon,53.36102701406392,0.15750877526396662
an got,53.35331749859584,0.15768283945887476
general assembly,53.34230061566167,0.15793182477133702
which the,53.34140815946182,0.1579520073608447
meanwhile,53.32469053540314,0.15833042464530783
the mate,53.323409541365386,0.15835944873604282
im,53.30288042013948,0.15882512552178157
bill to,53.27288070189581,0.15950745569041214
ice and,53.23870441621455,0.16028742336489551
way an,53.179991584971994,0.1616339439885336
he wanted,53.17541042730173,0.1617393586663382
flung,53.16226587312715,0.16204210306774497
cabin and,53.14100471962244,0.16253267345284161
equal,53.13463484257237,0.16267986221163436
realized that,53.10085976704787,0.16346194536662728
mamma,53.10041984738185,0.16347215022462722
can prove,53.09466630959544,0.16360565878699834
the deer,53.094073351471835,0.1636194227079816
occurs,53.08235792285269,0.1638915396101555
ought,53.0809548265526,0.16392415197014698
train,53.07403358921901,0.16408509313796002
our city,53.069431475896224,0.16419217151404117
sabbath,53.05854981334912,0.16444556202350646
my dearest,53.03657397884651,0.16495816824936826
black jack,53.02778040584203,0.16516361496450935
according to,53.02493621470716,0.16523010482202394
the meadows,53.023557414452874,0.16526234469434406
her mind,53.02229147157893,0.16529194974203684
league,52.9673109555374,0.1665814722380349
minister,52.96370225282993,0.16666636866400175
demanded the,52.9472260779904,0.16705438143048046
foreign,52.94058895626069,0.16721087206147905
his hand,52.93579085215181,0.16732406903407818
that mr,52.928074457017864,0.16750623208368354
bull,52.92443705746942,0.16759215151128054
tranquillity,52.91785944378915,0.16774760398968314
the birds,52.895861311493064,0.16826826499965808
unto,52.89532910573402,0.16828087609682696
amiable,52.881777607500574,0.16860222403439987
perfectly,52.875523934850655,0.1687506691397663
ye know,52.874435955800266,0.16877650454245277
not you,52.83259046378921,0.16977237181377522
re so,52.832341845740146,0.16977830138285752
herself and,52.82994360733793,0.1698355074052604
worried,52.81860730414185,0.1701061066004323
said henry,52.79408712439217,0.17069248225321568
went on,52.78135690681805,0.1709974930184132
of anne,52.76458496579121,0.17139994763776006
pair,52.749494640140966,0.17176263963980434
ni,52.72748549950667,0.172292624185859
what she,52.72186919600366,0.17242805612079626
the sod,52.71320298157054,0.17263718561698638
stream,52.67550547146873,0.17354903079168527
to me,52.66708304367741,0.17375323328982453
hauled,52.65194292825801,0.1741207448715208
echoed,52.648147047469465,0.17421297449230955
enjoyment,52.6398735146527,0.1744141216343543
the slavery,52.59058792625135,0.17561584670726538
ham,52.58531321990592,0.17574481331152278
the is,52.58308922257155,0.1757992105857154
east room,52.55257258810901,0.17654685418349322
the fore,52.54151740313065,0.17681826717184876
the farmer,52.541200493043505,0.17682605198948365
the steward,52.540606270480055,0.1768406495863559
of wife,52.53431851790471,0.17699516704581142
the cliffs,52.527852997229935,0.1771541546542598
guns,52.52540099343151,0.17721447654919842
upon my,52.52173392349349,0.17730471801862474
just because,52.521072685384105,0.17732099369288873
surf,52.51690178205685,0.1774236808968255
quitted,52.513110694270935,0.17751705429441994
the doctor,52.47660377868058,0.17841802341793916
the members,52.43157178703744,0.1795339178162324
captured,52.42729960292619,0.17964004281298443
boat and,52.4263694082554,0.1796631556855417
sublime,52.42309544881305,0.1797445219069578
settlement of,52.41474640216363,0.1799521368592805
friend,52.408051642759226,0.18011873926580724
robert,52.39635678212314,0.18041003748913173
used to,52.395981607457536,0.18041938802206314
in washington,52.372223079355386,0.18101223426849888
expedition,52.37200616871368,0.18101765326853278
said martin,52.36703459389036,0.181141888230232
regard,52.35993328717791,0.1813194492407824
the red,52.33208879003505,0.1820168768908143
alfred,52.31874677298547,0.1823517377402569
feet deep,52.3146975727858,0.18245345264725782
dogs were,52.30005454087762,0.18282162098446916
shouted the,52.29936112824404,0.18283906856423884
if you,52.29609516996334,0.18292126230168618
the room,52.29542960926786,0.18293801558015022
is the,52.28814559701605,0.18312143812285236
schools,52.276416107385465,0.18341708092302794
churches,52.26961503899725,0.18358865863420626
little books,52.25195139727495,0.18403481362158527
of industry,52.219423539089135,0.18485843931382556
americans,52.1859218971985,0.18570946659103613
remarked,52.18029044826461,0.1858527933452436
holiday,52.179691454358256,0.18586804305256482
bored,52.17623628926164,0.1859560250418212
coast of,52.1602194082579,0.1863642646728165
cause he,52.152923502647404,0.18655043460439047
the historian,52.1484259780863,0.1866652640221727
state and,52.13830778842966,0.1869237822798885
you get,52.11676686570724,0.18747499719364477
of temperament,52.108733684905715,0.1876808551504678
wife,52.099436769073684,0.18791929784593356
asked mr,52.09839052396317,0.18794614487850914
hotels,52.0956418562105,0.18801668967057988
edifice,52.09516391139122,0.18802895808284
bees,52.08505115495126,0.18828867661293452
martial,52.07010303789464,0.18867304413112035
vo net,52.05406881071311,0.189085957328488
certainly,52.05320510838036,0.18910821753989251
the slopes,52.0483719596665,0.18923281660958832
smallest,52.044192567914315,0.1893406086361944
bay,52.03333676766801,0.18962079720145653
nt,52.00560179972656,0.19033797015259593
wind,51.947386555376696,0.19184953691253717
foliage,51.93735829196111,0.19211077498851376
flocks,51.92258669606569,0.19249603443943
money,51.91859668246137,0.19260019171724901
tracing,51.917042111931245,0.19264078373936233
mr shepherd,51.8843638596132,0.19349545405593693
teachers,51.85597363347484,0.1942401378469059
mr in,51.85384881263178,0.1942959534210476
land of,51.842152940999576,0.19460338662570356
around and,51.839416772349054,0.19467535779767106
and he,51.83643016968816,0.19475393762920679
maiden,51.82873356453268,0.1949565439252381
said frank,51.784598801337005,0.19612120875988148
bein,51.77085094291371,0.19648499257501034
van and,51.70849418464735,0.1981409525458069
tell,51.70651421258303,0.19819369234441916
african,51.69233115398829,0.1985717679462854
answered and,51.69183715377329,0.19858494549908176
theatre,51.675993845306394,0.199007892526124
the workers,51.652417816160444,0.19963843161720535
walked along,51.64798494239539,0.1997571437823073
sister in,51.64343412807625,0.1998790655310096
the parish,51.63919551028644,0.1999926697662272
an put,51.63741941384194,0.2000402864028446
deem,51.6234509736753,0.20041505142271282
the scholar,51.621403031519066,0.20047003754204434
than she,51.6172865120378,0.2005805955743313
sighed,51.603275461369776,0.20095721044455228
surface,51.57879690024645,0.20161636942748984
rights,51.57349785820524,0.20175925958311663
writers,51.56698450086065,0.20193499039473517
our,51.54837055568518,0.20243778134977708
itself,51.53382242365263,0.20283135249089826
in of,51.527132910766355,0.20301250199988785
reverend,51.521821616625516,0.2031564096694527
fog,51.50573336181954,0.20359274644921932
the papers,51.481568367502,0.20424935425535107
five to,51.481109757386044,0.2042618296876504
hand upon,51.45358482026399,0.20501154700051483
houses,51.45119004921601,0.20507686492348476
steep,51.4472933918698,0.20518317784626533
shores of,51.44632887139913,0.20520949883596357
the northern,51.44387675108484,0.205276425727168
brain,51.43266173022892,0.20558271467026334
at times,51.41599827043741,0.2060383857538698
the entire,51.415964178728814,0.20603931872280248
trade,51.4134097230614,0.20610923338295287
the others,51.384040333976166,0.20691423924988536
the landlady,51.36866663548267,0.20733648952188022
solicitude,51.366625226880004,0.20739260290683034
decent,51.3637150243659,0.20747261539387823
of governor,51.35464347666221,0.20772216280734113
the ocean,51.33444199705303,0.2082786224498847
knights and,51.32259186882799,0.208605516065088
waters,51.302185846835215,0.2091692546727481
po,51.30134374896939,0.20919254097224307
dawn,51.27522148823767,0.2099157755473231
he responded,51.26825949738866,0.21010881759447575
income,51.26101401993918,0.2103098491978909
earth,51.25206149355235,0.21055842603313235
the judges,51.23849564605188,0.21093547980188887
sovereigns,51.23586695482576,0.21100859590481516
adam was,51.235361499303856,0.21102265695469066
to go,51.212482205702145,0.21165979691861342
one hundred,51.159570180080856,0.21313831253688342
of william,51.123400646244605,0.21415303374471376
writer,51.12189444878209,0.21419536062970929
duke of,51.11678374518171,0.21433902308064975
man is,51.10098772030422,0.21478346512123853
among the,51.08778348040983,0.21515546391673812
of men,51.07698223740395,0.2154600889041987
just,51.07402744743139,0.2155434731243603
feet long,51.03891057512259,0.21653614777764046
west of,50.99565276019953,0.21776319818514223
ere,50.990258135820014,0.21791655096919185
thoughts,50.981933769707815,0.21815333054107747
muscles,50.943802800306244,0.2192401537474875
consists,50.92597966011569,0.21974940528669726
ye shall,50.9057332671119,0.22032886095429982
antiquity,50.90210694094554,0.22043275557058534
and and,50.88229821643885,0.2210008591276396
huge,50.87296265810171,0.22126893875341969
the national,50.859199641875534,0.22166455534747317
ind,50.85816720236685,0.2216942518563977
pure,50.845071411101415,0.22207116356074352
hound,50.842470446443805,0.2221460734023894
feeling,50.8406138131797,0.2221995562754972
classes,50.83157058423531,0.22246018235998632
government of,50.787814409646906,0.2237241293702855
ml,50.7838481196673,0.22383893716665115
of em,50.78348744182064,0.22384937926193488
the narrative,50.74626959369105,0.22492863531809004
storm,50.717908498685496,0.22575338787534208
seemed,50.71280214580047,0.22590209660031038
number of,50.7091853728348,0.22600746480922831
beast,50.70222425342232,0.22621035668926737
ahead,50.68115542012471,0.22682517702564872
historical,50.6639957549929,0.22732674242604908
adopted,50.65244913311038,0.22766465688173193
married,50.63490783815466,0.22817864476111457
trees and,50.61539233061882,0.22875138429629566
seemed to,50.59343754084297,0.22939684966424426
or of,50.58082297160667,0.22976825979760962
to margaret,50.50111296784697,0.23212434939468798
banks,50.478151653196065,0.232805989189509
the bishop,50.46389892861357,0.2332297637237211
by tho,50.46314453726927,0.2332522080739105
the boy,50.44226417573122,0.23387399572439396
im an,50.435141077231634,0.23408636029874744
glanced,50.43109731969416,0.23420697521519018
foot,50.427709259568374,0.23430806375464175
go,50.42646237813871,0.23434527378950798
cottage,50.426264792034715,0.2343511706048187
the gods,50.415718750801055,0.23466605088213408
meek,50.388100918144815,0.23549196892735916
slowly,50.35893118980902,0.23636636076516476
of state,50.35519181158223,0.2364786056565844
the british,50.35356972680985,0.23652730659493945
ma,50.33852723976512,0.236979249410479
knew,50.30387026763445,0.23802264223002417
quarter deck,50.28548807796654,0.23857727494866202
spray,50.28037829607227,0.238731598076163
up an,50.2766619878521,0.23884387698888793
jove,50.26317374101111,0.23925167903935748
observed mr,50.24309395738282,0.23985960681792323
hinder,50.2371829849506,0.2400387560887656
after time,50.23263804531534,0.24017656280281666
pair of,50.2030623015524,0.24107458003468457
cocked hat,50.198282082070406,0.24121992725858785
treaty,50.185919236125116,0.24159609476630559
waa,50.18450511365665,0.241639146822946
free,50.169903256666665,0.24208398132575693
kind of,50.1288804893854,0.2433365400441996
determined,50.126877764351335,0.24339779663177688
grip,50.11983905660172,0.24361316580339856
principal and,50.11712228379228,0.2436963260070214
nobody,50.11556701791413,0.24374394081001652
ward,50.111447716458905,0.2438700830930267
mountains the,50.078247733686,0.24488827657590426
master,50.058122012716645,0.24550683140655913
naught,50.054870682709804,0.2456068536467728
women,50.0417454416353,0.24601089783315772
dearest,50.0089485306055,0.24702237321003373
would ye,50.000640433400385,0.24727902197259116
cent,49.991929124080144,0.24754830979487893
the music,49.9886436417315,0.2476499207839188
the wagon,49.98200278962878,0.24785538564772866
parlor,49.978905539404735,0.2479512503912708
of american,49.97148773027788,0.24818093955886225
venerable,49.96472883425004,0.24839034413449446
republic,49.95020262948806,0.24884077782977987
lower classes,49.94532064386538,0.24899227715137606
page,49.94121600401728,0.2491196991664582
comfort of,49.93992125342741,0.24915990126782675
the majestic,49.922615352570375,0.24969764800775146
north of,49.921894668817224,0.24972005786344653
the track,49.90745714048917,0.2501692666440666
my history,49.894024007830495,0.2505876863736608
her judgment,49.88909086673045,0.2507414572052427
the subject,49.87298727580399,0.2512438393763844
the law,49.87065079163182,0.25131678353385634
richard had,49.83247298828446,0.25251058498477535
thousand year,49.8166428385198,0.2530066384039749
exclaimed the,49.816113709199044,0.253023229843766
owing,49.80828190559583,0.25326888531131003
stove,49.80211535905481,0.2534624138128325
personal,49.79765624610156,0.2536024151355933
crew were,49.79458323879217,0.25369892580301645
scenes of,49.77087666972248,0.25444423295173624
cigars,49.7669158305404,0.25456889179184705
acres,49.76382082324928,0.2546663272676782
his face,49.75034794348498,0.2550907478370974
preaching,49.736737626943736,0.2555199503954605
her course,49.73185264516458,0.2556741096045434
forty feet,49.729656475197466,0.2557434349453466
states as,49.705003158204576,0.2565224650332329
coloured plates,49.70156785710389,0.25663113679984195
darling,49.68564306390006,0.25713527698288896
his sister,49.680911304238535,0.2572851927218707
mr pinch,49.670054258971305,0.25762938238737415
great many,49.63146173039067,0.2588551772108606
felicity,49.63000976885328,0.2589013662516536
johnson,49.61818011380615,0.25927787713714595
administration,49.615139498828704,0.2593747082314878
the pair,49.614836271173125,0.2593843660256595
know,49.61438375715448,0.25939877900515107
afternoon,49.60512284310172,0.259693857388131
he had,49.5810327804981,0.2604624148960398
regard to,49.5803949998392,0.2604827815925711
sensible of,49.57864547905399,0.2605386553633344
thou hast,49.57684113908275,0.26059628769990933
below,49.553511278947596,0.2613421811183016
the pilot,49.53011117589795,0.2620916537698647
battle,49.52278978141524,0.26232642192535693
hit,49.51995109132056,0.26241748261932396
branches and,49.50661168505448,0.2628456525104016
my grandmother,49.492585184812455,0.2632963441058547
visit,49.4861308439607,0.2635038922005903
opinions,49.47493325539682,0.2638642062904096
french,49.443144764030066,0.26488875199295103
ejaculated,49.43171237167385,0.265257819171219
bless,49.425423890608656,0.2654609628773073
post vo,49.391161785209015,0.2665694547482488
interested me,49.384057509047466,0.26679965775338654
the largest,49.38349796654872,0.266817794052679
harry,49.37861440408823,0.26697611584204084
trying to,49.36653557415269,0.26736795149083864
said philip,49.35462628122832,0.26775463326389115
approbation,49.354298750143926,0.26776527269246025
president of,49.33490258233239,0.26839579523405316
in boston,49.32764482504099,0.2686319613295786
said walter,49.29165065114991,0.2698050862536385
the links,49.28558418440025,0.27000311310287695
parliament,49.28315070001093,0.2700825739625179
landlady,49.26330492598385,0.2707311337341195
he come,49.26212195069716,0.27076982335470484
the guns,49.261459479148215,0.2707914911921319
of snow,49.260715403898956,0.27081582935014914
trail and,49.257930371950344,0.27090693755764783
ve never,49.24315728077659,0.2713905299713909
faculties,49.232912365321916,0.27172620271533493
northward,49.22119357461387,0.2721104765543107
his reverence,49.170338995130855,0.273781888502879
the minister,49.154322190363885,0.2743095912120488
of slaves,49.142277858967034,0.2747068190159791
compromise,49.136998885040114,0.27488103174473516
fighting,49.116959401483605,0.27554296768690584
the or,49.11334958783227,0.2756623078103385
mines,49.11229195443972,0.2756972789879891
honourable,49.101482706042454,0.2760548457360196
you must,49.094048785637696,0.2763009199107762
thereafter,49.07181528018966,0.277037671840953
before she,49.065053214798326,0.2772619808070194
spoiled child,49.02862607432259,0.2784722079084671
asked the,49.028550900970544,0.2784747086832299
she added,49.018231715848884,0.27881812252256943
lee,49.016239537835496,0.27888444976918003
tliat the,49.01555193185841,0.2789073450048879
afterwards,49.001614254719854,0.2793716710540121
machine,48.99665356372147,0.2795370453838985
in love,48.99414946488981,0.2796205466638343
the average,48.99289832287909,0.27966227263758636
secretary,48.98806320455089,0.27982356035196154
brilliant,48.967007114335125,0.28052658845297507
by crown,48.962627726938244,0.28067294139886995
wa,48.94144957458892,0.2813813283207243
coloured,48.935886817750216,0.28156757329304605
cold water,48.934139175605985,0.28162610072955835
recorded,48.921595950216215,0.28204637809812494
many places,48.9085422979755,0.2824841541625804
alongside,48.90577365652428,0.282577057098331
the castle,48.86636599421911,0.28390136559156726
politics,48.860556697877904,0.2840968997711692
good little,48.855520536941846,0.2842664756573258
of its,48.830469068904144,0.2851108902700378
in color,48.813559505219,0.2856817013937741
anne she,48.807103790170345,0.28589980287516364
the fog,48.80307430933951,0.28603598563936505
resumed,48.773044088944836,0.28705210932845926
feet or,48.74438142107279,0.288023937874081
continued,48.69858936096632,0.2895805521533381
academy,48.69200131958217,0.28980490446924567
he accordingly,48.683629553813674,0.29009014715721004
drawing room,48.676668148633304,0.2903274609213848
sister mary,48.67088917445591,0.29052455179400666
her daughters,48.66186518278618,0.2908324695291902
road,48.65633872238193,0.29102113802409313
the soil,48.641353956351054,0.29153306361213854
their high,48.62529950343221,0.2920821143753214
the upper,48.62332656525522,0.2921496289122483
the priests,48.601287052398476,0.2929044441730569
of being,48.60078653277754,0.2929215992416473
render,48.5957468630314,0.2930943639818959
fort and,48.58272850616457,0.29354091926835535
cried mrs,48.58265378372083,0.29354348353296955
she hoped,48.57582950597553,0.29377772831865717
the league,48.561486805598804,0.2942703972598309
fu,48.55815068372123,0.2943850608741022
hope,48.55785607327733,0.2943951879742161
and of,48.55691576125755,0.29442751212022894
the port,48.55068507646917,0.29464174985509345
thirty,48.53501431671652,0.2951809760273245
favor of,48.53498720537919,0.29518190941374
uie,48.53097733689848,0.29531997952367495
habits,48.527492738328306,0.2954399934933438
of or,48.52634473144015,0.29547953845904606
crown cloth,48.488754626327115,0.2967760760485329
of ice,48.48256930166772,0.296989729973332
of antiquity,48.46859477863433,0.29747276424632374
with shrug,48.45505680395708,0.29794113882772416
the theatres,48.43910490490298,0.29849357042548247
good lord,48.43004731914281,0.29880750534854084
by jack,48.4032407985487,0.29973772230757373
divorce,48.39484499954139,0.3000294057814456
the are,48.39483544525226,0.30002973780492787
of lake,48.38608345703496,0.30033396834000947
the office,48.38438241143319,0.3003931193091624
top,48.36448756410075,0.30108542146961575
right up,48.3582112695038,0.3013040125941892
of my,48.352465752874174,0.30150419684643376
sir george,48.34357293042463,0.30181418794537995
the prisoner,48.34337490170836,0.3018210930034594
ship and,48.32993083267656,0.30229008361179643
she paused,48.3178338408297,0.30271243509134244
sails,48.31286199045942,0.30288611799517334
ye are,48.31157455156456,0.3029311016212345
writings of,48.29704102694932,0.3034391710643019
the mystery,48.28552490018285,0.30384209898800424
child history,48.27553207843207,0.30419197412754506
district of,48.26072387161978,0.3047108666188366
the struggle,48.256213713658724,0.30486900557956104
the bough,48.25342943372039,0.3049666534351748
thorn,48.2369835182919,0.3055437896074393
he smiled,48.2307542193179,0.30576255462499596
of chap,48.229108656099854,0.3058203594042846
the wind,48.221805366212756,0.30607698098497627
of these,48.199222562206785,0.3068712560014711
the old,48.17776693358035,0.3076269557503853
convinced,48.153096579456154,0.3084971686336074
the doctrine,48.151985280544125,0.30853640050777
the republic,48.14954808171096,0.3086224500072091
jest,48.136143213739366,0.3090959712914287
fought,48.13193712627613,0.30924463299328253
villages,48.123118245891526,0.30955646047024865
in summer,48.103456207822035,0.3102523218567684
next moment,48.096785075826745,0.3104886180391404
largest,48.08612851942953,0.31086628804723926
exists,48.08567260919713,0.3108824512611923
of paul,48.08463556340446,0.3109192189922407
from her,48.081989658246535,0.3110130386329682
the pointed,48.0817719375279,0.3110207593668597
in front,48.053976322086115,0.31200731000468174
the margin,48.04876590169993,0.31219243615007713
and sister,48.04752883179543,0.31223639814338233
to lady,48.04305107303763,0.3123955537390715
tower,48.023377619508956,0.3130953497100743
years of,48.01005982875067,0.3135695615765512
of ii,47.992943408030044,0.3141796134494399
colossal,47.98396774707108,0.31449977865013856
conditions,47.95833079458597,0.3154152450264395
blood,47.948146351781816,0.3157793250078707
monkey,47.929772356030114,0.3164367521838857
streets,47.92880838124187,0.316471264147758
old,47.926135624905136,0.31656696420669483
sensible,47.920645752939734,0.31676358281840955
your brother,47.91824642760107,0.31684953509674774
the fleet,47.91178607866251,0.31708103084123207
skin,47.911314252006626,0.3170979415730513
my life,47.90484711593875,0.31732977969855763
the ground,47.902302289752335,0.3174210336357325
violet,47.88802645053868,0.3179332106014044
literary,47.874790681949,0.3184084745209594
oxen,47.86523453308887,0.31875185238770953
sister and,47.840246683982436,0.3196506823268997
and went,47.82970459295171,0.3200303002016173
that is,47.826994520301035,0.32012792862114703
the top,47.81743227562207,0.32047253036123513
flank,47.80374219832248,0.32096623885207526
go an,47.79858154948019,0.32115245510551854
poetical,47.78620600735951,0.32159925021302027
and aft,47.78110981313742,0.3217833358559387
aiid,47.773635040996936,0.3220534435940707
eight,47.758557381909355,0.3225986598643198
the honest,47.74546748382354,0.3230723997382893
while the,47.744126189348734,0.3231209639629454
the crystal,47.722526017318465,0.32390358033427635
of man,47.71955292480816,0.32401138072734514
naked,47.70763631438122,0.3244436539645271
also he,47.6922522694013,0.3250021636546958
of which,47.656086087267724,0.3263171771552542
bob,47.651421712442996,0.32648698115442
bishop,47.63944267590765,0.32692328656679415
resolution of,47.63611738818077,0.32704445645921554
talents,47.594773802114695,0.3285529603058251
appears,47.585994465581116,0.3288737649732574
the land,47.57286508150307,0.3293538326954243
mud,47.56314314770236,0.32970954713930817
de la,47.56305695318585,0.32971270180317136
captain of,47.54612309974634,0.3303327782161236
was very,47.52154880771809,0.33123371833925963
to get,47.51897170181388,0.3313282745512301
soldiers,47.49372821999256,0.3322552270681211
great expectations,47.48407158600516,0.33261018153521305
profound,47.48232011144944,0.33267458271374784
adventures,47.47644117471976,0.3328907970086255
somehow,47.47038836249381,0.3331134826685448
ground,47.46114933898177,0.33345354021782264
down an,47.457259128255856,0.3335967799641437
lo of,47.45089105945885,0.3338313249884429
continent,47.41913804410822,0.3350021131256662
individuals,47.41157369366108,0.3352813375575789
the several,47.33028778447813,0.3382894500895504
song,47.31853270142544,0.3387256104333467
men of,47.31477944028486,0.33886493207730684
crawled,47.30728586546783,0.33914318260364357
the midnight,47.30721616985948,0.3391457710818938
among,47.29684503143404,0.3395310654359016
towards the,47.294721161184135,0.33960999617885523
tradition,47.27015325674189,0.3405237104083601
covered with,47.2672833861492,0.34063052660016474
ought to,47.25554520643787,0.34106759780272594
we was,47.2542158913022,0.3411171128575332
the passengers,47.24576774082872,0.341431879678978
having,47.21234640944992,0.3426785601041885
sing,47.17634294405074,0.344024134650966
returned mrs,47.14854306221992,0.34506493356229084
ye can,47.13030504691205,0.34574860519485484
his wife,47.1288721107739,0.34580234913613844
missionary,47.10681702003608,0.3466300792332769
said yes,47.10484818555438,0.3467040179962891
night,47.08932288828517,0.34728734031075886
form,47.08421312920388,0.3474794332343425
track,47.08364237719849,0.3475008930013518
the street,47.07734270955757,0.34773779880992167
bye,47.06698963000543,0.3481273123688561
her opinion,47.06527475839452,0.3481918518934105
in general,47.061425573473436,0.3483367383979299
the grand,47.06097002372181,0.34835388765257147
our country,47.05068062595202,0.3487413457872636
his trunk,47.03976165473187,0.34915274525058876
and are,47.03136145817974,0.34946940743743193
country of,47.01347400977592,0.3501441845246783
totally,46.98725144375899,0.35113455480786415
put in,46.97518234274422,0.35159084271189617
flowers are,46.97496420712723,0.35159909229499775
