feature,chi2,pvalue
lord duke,304.83195986548066,1.013307397254341e-40
folks,304.36161992887094,1.2413573189495963e-40
horse tale,300.66173289934727,6.118039467483571e-40
never too,300.5114964634435,6.526975391191759e-40
self made,295.1830642029515,6.454410726018618e-39
white lies,294.16281258925994,1.0001608950337414e-38
twas,293.59946774169805,1.2736566160207319e-38
united states,291.8505302793131,2.6962849426647624e-38
magic wheel,289.9915804014223,5.978803422779527e-38
cape ann,288.4038694356684,1.1795288640946985e-37
sea wolf,287.95813186074633,1.4272672479262646e-37
outward bound,286.4872388420166,2.676542521309166e-37
colonies,286.20139669445297,3.0242168126057326e-37
to mend,285.620217677222,3.876364966826236e-37
busy life,284.02783760317243,7.649426805704686e-37
quiet life,283.53121288379754,9.454497628027038e-37
sugar pine,282.17625630562975,1.684732244220717e-36
bout,282.15277930729064,1.7016734542709607e-36
by muslin,282.05892322049624,1.771117365070554e-36
chap ii,279.254574342814,5.845512389143903e-36
spring days,275.8218058634312,2.514041535046565e-35
america,275.14935268133553,3.344403116455132e-35
king arthur,274.61508891003865,4.1952291104875704e-35
rocky,274.3073175632102,4.7802056396881844e-35
and cottage,274.26687063938283,4.862907277427329e-35
and scotland,274.16538626234086,5.076755630352519e-35
pine,273.0451507738341,8.162385930828303e-35
on board,271.0881793187837,1.869499664942739e-34
member for,269.61196492519457,3.4906708130314046e-34
of naval,268.18615814286056,6.37643149125207e-34
of virginia,268.1244864877523,6.544706826364873e-34
the united,266.96615429038826,1.0672745029468138e-33
of busy,266.1251726901113,1.5218393017335443e-33
thousand feet,266.04810391687556,1.5721196983532376e-33
city editor,264.2805642863358,3.3116298872326176e-33
richard,264.27593398943566,3.3180953897784054e-33
our mr,264.1937217287862,3.4350135008660815e-33
business short,263.48129167500963,4.636830343920504e-33
sensibility,262.9797882137136,5.7266343374703986e-33
the sorrows,262.1796036376017,8.018834077492603e-33
english poets,260.61043342044627,1.5509280565144734e-32
mrs,260.10032275250745,1.9215511050138982e-32
renowned,258.6011054063394,3.6054285631940264e-32
arc and,257.5765090301491,5.540724096091187e-32
by watch,257.09466549834104,6.780719733226267e-32
cherry child,256.5097429718733,8.663755153557384e-32
ted,256.1775139787427,9.95718698820719e-32
dart,255.65235053539516,1.240595239210876e-31
to de,255.41645303745602,1.3693435539539755e-31
pines,255.26483652160965,1.4590487509282241e-31
the ship,254.74584713266145,1.8129086671847232e-31
streams,253.20718240347918,3.4494490896827637e-31
miscellaneous writings,252.18709049937166,5.281838638721954e-31
indians,251.99671853048488,5.718744819976619e-31
ray work,251.62836439062113,6.669158869045614e-31
ye,251.39660034164848,7.346362599001165e-31
species,251.3920408122447,7.360351959689825e-31
london life,251.00091086239027,8.66489659680013e-31
mill on,250.58131536778532,1.0321942637770522e-30
by ways,249.67161151487937,1.508144152711544e-30
the colony,247.26594667851455,4.1054479624095055e-30
chap,246.69893451665817,5.196938630177406e-30
second book,245.7553525518436,7.691804597706294e-30
perilous secret,245.7175107293751,7.813660070300595e-30
sister,245.44828062804564,8.738053550416941e-30
feet high,244.55862785873492,1.264159996609847e-29
of satan,244.0575287699055,1.5562832316189387e-29
margaret,243.12874624795538,2.287359132341761e-29
the colonies,242.19110044704206,3.373214285630652e-29
an say,241.48586970265652,4.516970103418691e-29
st louis,239.88801967836974,8.747111713449414e-29
the brethren,239.68624529371837,9.507816891784994e-29
real estate,238.51961733121942,1.539403717128373e-28
by perilous,237.27879794276453,2.568612178021201e-28
miss,237.24373203142096,2.606024931280122e-28
dutch,237.19892562991598,2.6546224122178393e-28
mountain,237.18114983766588,2.6741518242560857e-28
pretty sister,236.02262786455725,4.310689618042611e-28
coin of,235.91639555671253,4.50350095849621e-28
deck,232.62442200322369,1.743953126804971e-27
peter,232.2654049215505,2.0209348380567345e-27
the pond,231.56784342962618,2.6907652160261674e-27
the constitution,231.16815632946947,3.1701072547190964e-27
election,229.9595602459605,5.202407699253755e-27
paul,229.9112743559904,5.306329171413254e-27
hints toward,229.09007691548024,7.427121413918846e-27
of slavery,228.9463671277076,7.877046757826117e-27
less black,227.64216068539594,1.34279990003698e-26
board of,227.51102822811484,1.4167277149964883e-26
the brass,227.38033667109661,1.4944461748841738e-26
chap iii,226.74619580484304,1.9363313695836865e-26
the de,225.95678218342886,2.6725617505584666e-26
long jack,225.7431099528028,2.9160107209943785e-26
black than,225.17874545875955,3.6707306445040686e-26
